district_std_2020,n,n_00,n_01,n_10,n_11,chisq_p,random_rotation
AJMER,171,47,46,39,39,0.9441657936880552,TRUE
ALWAR,367,71,116,111,69,5.642695292677653e-6,FALSE
BANSWARA,183,9,86,87,1,1.0790154226837545e-33,FALSE
BARAN,161,10,73,71,7,1.2902369896990163e-23,FALSE
BARMER,136,31,40,42,23,0.014372592768702811,FALSE
BHARATPUR,266,20,112,120,14,5.674520694864509e-34,FALSE
BHILWARA,273,19,121,116,17,4.765584162786951e-34,FALSE
BIKANER,128,25,41,40,22,0.002590482292123723,FALSE
BUNDI,122,24,39,37,22,0.006577051265197239,FALSE
CHITTAURGARH,231,51,67,66,47,0.021008114350354504,FALSE
CHURU,179,45,42,48,44,0.9519976390107718,TRUE
DAUSA,88,28,17,24,19,0.5410799749919847,TRUE
DHAULPUR,75,6,38,31,0,1.7483469111264804e-13,FALSE
DUNGARPUR,100,35,26,17,22,0.17829324880920083,TRUE
GANGANAGAR,112,32,30,27,23,0.8014016162011818,TRUE
HANUMANGARH,54,9,18,22,5,3.4672330880285667e-4,FALSE
JAIPUR,192,33,58,62,39,5.079547815528964e-4,FALSE
JAISALMER,48,18,7,17,6,0.8815570399986912,TRUE
JALOR,145,27,49,51,18,3.6508740515237404e-6,FALSE
JHALAWAR,143,40,34,30,39,0.2061633302046259,TRUE
JHUNJHUNUN,188,42,50,56,40,0.08187036158933396,TRUE
JODHPUR,132,23,48,40,21,1.4180338426153223e-4,FALSE
KARAULI,129,28,41,36,24,0.027777654471115343,FALSE
KOTA,127,27,39,39,22,0.009463950214041655,FALSE
NAGAUR,270,33,101,105,31,5.5474413219736296e-18,FALSE
PALI,262,63,72,62,65,0.7274103630685366,TRUE
RAJSAMAND,151,40,34,35,42,0.2907216210694719,TRUE
SAWAI MADHOPUR,136,21,49,45,21,8.47865661635646e-6,FALSE
SIKAR,200,56,50,46,48,0.5824461335958478,TRUE
SIROHI,143,8,70,62,3,3.67356749198194e-24,FALSE
TONK,194,33,67,67,27,9.750526037477963e-8,FALSE
UDAIPUR,228,29,90,89,20,5.317888597196521e-18,FALSE
