z_o1_dup_share,z_o2_photo_share,z_o3_excess_ghost,z_o4_dead_soul,z_o5_targeting,z_o6a_irregular,z_o6b_ghost_offtake_pc,z_o6d_subsidised_no_tx,component
1,0.055,-0.022,-0.007,0.045,0.13,0.573,0.208,z_o1_dup_share
0.055,1,-0.028,-0.016,0.032,0.061,0.184,0.092,z_o2_photo_share
-0.022,-0.028,1,0.062,0.01,-0.011,-0.025,-0.099,z_o3_excess_ghost
-0.007,-0.016,0.062,1,-0.052,0.019,-0.069,-0.038,z_o4_dead_soul
0.045,0.032,0.01,-0.052,1,0.064,0.156,0.186,z_o5_targeting
0.13,0.061,-0.011,0.019,0.064,1,-0.034,0.401,z_o6a_irregular
0.573,0.184,-0.025,-0.069,0.156,-0.034,1,0.211,z_o6b_ghost_offtake_pc
0.208,0.092,-0.099,-0.038,0.186,0.401,0.211,1,z_o6d_subsidised_no_tx
