food_type,n
गेहूँ,439346908
किरोसीन,115410440
गेहूँ (अति.),67308648
दाल (एन.एफ.एस.ए.),55321197
चीनी,24611781
तेल,1147752
घी,1146858
दाल,1123713
गेहूँ (राज्य अति.),148047
