name,value
n_gps,4165
o1_dup_share_mean,0.011162652030853934
o1_dup_share_sd,0.013659718818746057
o2_photo_share_mean,9.72175318135214e-5
o2_photo_share_sd,4.840703231873281e-4
o3_excess_ghost_mean,0.04144698045304009
o3_excess_ghost_sd,0.03311693029324576
o4_dead_soul_mean,0.026417488536138328
o4_dead_soul_sd,0.009073323919725668
o5_targeting_mean,0.056096244367111005
o5_targeting_sd,0.046795909535514
o6a_irregular_mean,0.20510216192616865
o6a_irregular_sd,0.0891029636853376
o6b_ghost_offtake_pc_mean,0.6563752298289132
o6b_ghost_offtake_pc_sd,1.0688458005782326
o6d_subsidised_no_tx_mean,0.007819349651884598
o6d_subsidised_no_tx_sd,0.011522153856036716
a1_qty_pm_pc_mean,5.014091044167259
a1_qty_pm_pc_sd,0.5261665314896398
a1b_qty_pm_pc_2019_mean,5.579846628420786
a1b_qty_pm_pc_2019_sd,0.5792842468809988
a2_qty_per_card_pm_mean,11.411009750460567
a2_qty_per_card_pm_sd,2.6878152581187504
a4_cards_per_100hh_mean,481.2890547480759
a4_cards_per_100hh_sd,493.2850203787889
a5_hh_linked_share_mean,0.28145616112544347
a5_hh_linked_share_sd,0.18829534337701154
placebo_apl_share_mean,0.7989595756528218
placebo_apl_share_sd,0.11812730963858273
poor_share_mean,0.20057474825465554
poor_share_sd,0.11811427605126903
