month,n_bills,total_qty,n_cards
2015-09-01T00:00:00Z,8,20.3,2
2015-10-01T00:00:00Z,81790,1109715.4,53824
2015-11-01T00:00:00Z,229089,2914153.1,140970
2015-12-01T00:00:00Z,564680,7519670.8,365593
2016-01-01T00:00:00Z,992530,12993239.75,646305
2016-02-01T00:00:00Z,1851218,24605413.240000002,1173879
2016-03-01T00:00:00Z,2612819,32164886.85,1491429
2016-04-01T00:00:00Z,4501795,59833721.7,2740442
2016-05-01T00:00:00Z,7347641,92365125.44,4272891
2016-06-01T00:00:00Z,9273752,108539002.09,5096429
2016-07-01T00:00:00Z,9621001,125147571.02,5920167
2016-08-01T00:00:00Z,9955448,129064575.60999998,6179685
2016-09-01T00:00:00Z,9934682,149040112.59,6427365
2016-10-01T00:00:00Z,11671425,156106951.97,6752409
2016-11-01T00:00:00Z,10793301,163198249.81,6817019
2016-12-01T00:00:00Z,11987977,173356714.57999998,7119848
2017-01-01T00:00:00Z,11149099,167451448.92999998,7111922
2017-02-01T00:00:00Z,11079939,170269040.43,7003964
2017-03-01T00:00:00Z,11198020,170717128.27999997,6964024
2017-04-01T00:00:00Z,9746209,153699560.39000002,6060225
2017-05-01T00:00:00Z,10377099,166582744.99999997,6371916
2017-06-01T00:00:00Z,10042018,167203650.32000005,6381665
2017-07-01T00:00:00Z,8264078,160052226.45,5920443
2017-08-01T00:00:00Z,6847950,143497151.01999998,5592668
2017-09-01T00:00:00Z,6848369,167337577.29,5834988
2017-10-01T00:00:00Z,8488224,156351191.61,6087600
2017-11-01T00:00:00Z,8408815,150136434.93,6014405
2017-12-01T00:00:00Z,11372663,168773958.20999998,6798303
2018-01-01T00:00:00Z,9608896,164311021.5,6527090
2018-02-01T00:00:00Z,10463271,163333595.73000002,6566459
2018-03-01T00:00:00Z,11682513,174662930.2,6768499
2018-04-01T00:00:00Z,10226097,160006508.26,6287482
2018-05-01T00:00:00Z,11257132,183036576.32,6890916
2018-06-01T00:00:00Z,10108724,167178718.99,6555442
2018-07-01T00:00:00Z,10635377,180084047.25,6861504
2018-08-01T00:00:00Z,10128717,176486474.82999998,6780358
2018-09-01T00:00:00Z,9876260,174593276.98,6637539
2018-10-01T00:00:00Z,10246108,181861215.4,6733018
2018-11-01T00:00:00Z,9333578,169698885.07000002,6381573
2018-12-01T00:00:00Z,10245095,188378605.48999998,6842640
2019-01-01T00:00:00Z,10026247,186688376.18,7003092
2019-02-01T00:00:00Z,9471299,184274337.72,6917669
2019-03-01T00:00:00Z,9237190,184393860.03,6966389
2019-04-01T00:00:00Z,9270644,185196774.25,6974702
2019-05-01T00:00:00Z,8968109,181603187.86999992,6890001
2019-06-01T00:00:00Z,9192630,190423929.42999998,7124265
2019-07-01T00:00:00Z,9395657,193464005.59,7341000
2019-08-01T00:00:00Z,8931926,187221193.68,7166288
2019-09-01T00:00:00Z,9072794,193119610.20999995,7225107
2019-10-01T00:00:00Z,9398861,197690259.69999993,7351065
2019-11-01T00:00:00Z,9426971,205966132.72999996,7764878
2019-12-01T00:00:00Z,8751211,192659241.60000002,8023924
2020-01-01T00:00:00Z,9169291,194223170.07,8094294
2020-02-01T00:00:00Z,8884705,195486182.31000003,8152157
2020-03-01T00:00:00Z,9856236,221805865.27999997,8240015
2020-04-01T00:00:00Z,16348214,179497916.26,8738003
2020-05-01T00:00:00Z,25609976,205956257.87,8761477
2020-06-01T00:00:00Z,26178253,198707811.26,8639709
2020-07-01T00:00:00Z,17243745,199260259.17,8619625
2020-08-01T00:00:00Z,22682439,199523689.02999997,8516580
2020-09-01T00:00:00Z,33784122,199350577.24,8519327
2020-10-01T00:00:00Z,25791304,196599213.57,8402330
2020-11-01T00:00:00Z,22027716,190478833.58999997,8158722
2020-12-01T00:00:00Z,10667045,176511063.24,7790990
2021-01-01T00:00:00Z,8734948,187244898.73000002,8046709
2021-02-01T00:00:00Z,8543625,184628237.63,8080099
2021-03-01T00:00:00Z,8246728,180165964.65,7998919
2021-04-01T00:00:00Z,7978823,175743336.78000003,7801201
2021-05-01T00:00:00Z,3621228,81247303.76,3603228
