outcome,term,estimate,se,p,n
placebo_apl_share,treat_2020,0.0017974629225965717,0.002477401943960665,0.46886597814333053,4165
placebo_apl_share,legacy_dose,-0.0017492116074137591,0.0015209086992867393,0.2513089419255197,4165
bench_rate,treat_2020,-3.421637636742815e-4,0.002899660495698806,0.9061939451094778,2894
bench_rate,legacy_dose,-3.816429278576363e-4,0.00223403112544584,0.8645419367607453,2894
